,0,1,2
RegionID,102001,102001,102001
RegionName,United States,United States,United States
PopRank,0,0,0
tier,Bottom Tier,Middle Tier,Upper Tier
1999-06-30,0.30398488122163203,0.185878811407034,0.152307116400269
1999-09-30,0.31602120255403304,0.19366565746116501,0.158555238181505
1999-12-31,0.323100260266565,0.200559498457265,0.162712644614542
2000-03-31,0.33726464724875005,0.21068610268062302,0.170842517105099
2000-06-30,0.341344989486894,0.21396716705232002,0.173627586625719
2000-09-30,0.331887582245646,0.207214724077701,0.168954227808164
2000-12-31,0.318398180831407,0.197932926940453,0.162069546172691
2001-03-31,0.308805972822357,0.19312576291537303,0.15682318948452698
2001-06-30,0.318768627066363,0.199993349107102,0.16179286903881002
2001-09-30,0.31042304195457804,0.195911070292467,0.15780086788974498
2001-12-31,0.320435661018384,0.20360176624026102,0.163473626068948
2002-03-31,0.321692468338704,0.206492166027642,0.164341036654569
2002-06-30,0.3131193631803689,0.19973699447877102,0.15965058190540302
2002-09-30,0.29828173463218605,0.19056434059305605,0.151915860926759
2002-12-31,0.300465810152531,0.19286836663965803,0.152917420382543
2003-03-31,0.294625188941675,0.189555595251364,0.14971846133093
2003-06-30,0.281879374247495,0.18116714355451102,0.14313633338680898
2003-09-30,0.316574000436207,0.203085495579313,0.16033320818104096
2003-12-31,0.312623058562462,0.200411373873807,0.158330626871205
2004-03-31,0.30436844465662605,0.194954997732782,0.154192376656982
2004-06-30,0.34148983980467995,0.21782329364530803,0.17296852160720597
2004-09-30,0.33043737332806605,0.20999647327552698,0.167666957235802
2004-12-31,0.337873916440352,0.21251167222052,0.17171776147271697
2005-03-31,0.350609362622348,0.21963508005878002,0.17913934253995
2005-06-30,0.343928444507525,0.215177261027875,0.177572337372731
2005-09-30,0.35460014420431396,0.22437734544282897,0.18503835339264002
2005-12-31,0.3768063434965321,0.239842225139792,0.197902967305351
2006-03-31,0.38058736467673204,0.24208526091841395,0.20031601973548102
2006-06-30,0.39641250947984896,0.252333645886683,0.208452644974999
2006-09-30,0.389209886469304,0.24453936570660603,0.202273176880036
2006-12-31,0.38044223465882004,0.23617043178473,0.19535874348248397
2007-03-31,0.381736390882163,0.234523308159097,0.194417685563468
2007-06-30,0.40140703645467496,0.24361071807127102,0.202564296875971
2007-09-30,0.388315968179745,0.231705529380439,0.19442491071738396
2007-12-31,0.37238249436086496,0.220875984188901,0.185134872038358
2008-03-31,0.36030458136739596,0.212157326608874,0.17857005195251502
2008-06-30,0.364226700680414,0.21156049807008803,0.180696863047494
2008-09-30,0.34219859922417895,0.198775664700081,0.17118233574274802
2008-12-31,0.304920768552191,0.17988320278753,0.154437345454779
2009-03-31,0.285505170012924,0.17307150869112198,0.146813855871548
2009-06-30,0.28814329740329103,0.178988374605952,0.150277660077391
2009-09-30,0.268658926595444,0.171056639047146,0.14201988089436
2009-12-31,0.26186680901263004,0.167595906685435,0.139050578870319
2010-03-31,0.263928043482657,0.168189457141164,0.139284868485171
2010-06-30,0.2550297794381,0.16125511003717802,0.13384850848677302
2010-09-30,0.237583226071685,0.151477284957991,0.124756239457802
2010-12-31,0.23954916817396302,0.15556334865996999,0.127111864390024
2011-03-31,0.23476994613208,0.154219316327116,0.12587750585381802
2011-06-30,0.218314719366115,0.14631433329549498,0.119141303011728
2011-09-30,0.202728916679874,0.137422798191948,0.11211285097197099
2011-12-31,0.19546398322338,0.134329307706429,0.10923412772590001
2012-03-31,0.19300478149212902,0.133351776222794,0.108571380070428
2012-06-30,0.185505895065879,0.129276083847253,0.105144347915031
2012-09-30,0.18190330995374102,0.126935292252044,0.10339848559715
2012-12-31,0.179117612446794,0.12403979617826,0.102075936416892
2013-03-31,0.18522811934636604,0.129009838310123,0.105660333464593
2013-06-30,0.199449907886839,0.13952970975876003,0.11404817025035602
2013-09-30,0.21072910270891898,0.15054509261599,0.12121147643216901
2013-12-31,0.20994472605753303,0.15136245560524303,0.12105843031067401
2014-03-31,0.20614021312691302,0.1498801255886,0.11964857634103501
2014-06-30,0.203001017481887,0.146978674985017,0.11736286923801699
2014-09-30,0.20480389012829003,0.14721897026803402,0.117905735580579
2014-12-31,0.199047261034596,0.14195923827218804,0.113859447517385
2015-03-31,0.19800576410340698,0.140808566829457,0.112647364210387
2015-06-30,0.20580780225495698,0.145111500566184,0.11610979544452
2015-09-30,0.20544633279596802,0.144375389093966,0.116479260630705
2015-12-31,0.210353007552438,0.14610955660788,0.11910925956560099
2016-03-31,0.206242725810897,0.142303184709199,0.11678650633647099
2016-06-30,0.207603011260042,0.14153557804869799,0.116843960545248
2016-09-30,0.20989018093251802,0.141410392187169,0.11712945044258699
2016-12-31,0.235804803539656,0.156327152871342,0.13029770626704498
2017-03-31,0.24114582006055604,0.157769484652771,0.13207914548493
2017-06-30,0.238614376860098,0.153850274660886,0.12934556203494
