tier,Bottom Tier,Middle Tier,Upper Tier,Unemployment
6/30/1999,0.303984881,0.185878811,0.152307116,
9/30/1999,0.316021203,0.193665657,0.158555238,
12/31/1999,0.32310026,0.200559498,0.162712645,
3/31/2000,0.337264647,0.210686103,0.170842517,
6/30/2000,0.341344989,0.213967167,0.173627587,
9/30/2000,0.331887582,0.207214724,0.168954228,
12/31/2000,0.318398181,0.197932927,0.162069546,
3/31/2001,0.308805973,0.193125763,0.156823189,
6/30/2001,0.318768627,0.199993349,0.161792869,
9/30/2001,0.310423042,0.19591107,0.157800868,
12/31/2001,0.320435661,0.203601766,0.163473626,
3/31/2002,0.321692468,0.206492166,0.164341037,
6/30/2002,0.313119363,0.199736994,0.159650582,
9/30/2002,0.298281735,0.190564341,0.151915861,
12/31/2002,0.30046581,0.192868367,0.15291742,
3/31/2003,0.294625189,0.189555595,0.149718461,
6/30/2003,0.281879374,0.181167144,0.143136333,
9/30/2003,0.316574,0.203085496,0.160333208,
12/31/2003,0.312623059,0.200411374,0.158330627,
3/31/2004,0.304368445,0.194954998,0.154192377,
6/30/2004,0.34148984,0.217823294,0.172968522,
9/30/2004,0.330437373,0.209996473,0.167666957,
12/31/2004,0.337873916,0.212511672,0.171717761,
3/31/2005,0.350609363,0.21963508,0.179139343,
6/30/2005,0.343928445,0.215177261,0.177572337,
9/30/2005,0.354600144,0.224377345,0.185038353,
12/31/2005,0.376806343,0.239842225,0.197902967,
3/31/2006,0.380587365,0.242085261,0.20031602,
6/30/2006,0.396412509,0.252333646,0.208452645,
9/30/2006,0.389209886,0.244539366,0.202273177,
12/31/2006,0.380442235,0.236170432,0.195358743,
3/31/2007,0.381736391,0.234523308,0.194417686,
6/30/2007,0.401407036,0.243610718,0.202564297,
9/30/2007,0.388315968,0.231705529,0.194424911,
12/31/2007,0.372382494,0.220875984,0.185134872,
3/31/2008,0.360304581,0.212157327,0.178570052,
6/30/2008,0.364226701,0.211560498,0.180696863,
9/30/2008,0.342198599,0.198775665,0.171182336,
12/31/2008,0.304920769,0.179883203,0.154437345,
3/31/2009,0.28550517,0.173071509,0.146813856,
6/30/2009,0.288143297,0.178988375,0.15027766,
9/30/2009,0.268658927,0.171056639,0.142019881,
12/31/2009,0.261866809,0.167595907,0.139050579,
3/31/2010,0.263928043,0.168189457,0.139284868,
6/30/2010,0.255029779,0.16125511,0.133848508,
9/30/2010,0.237583226,0.151477285,0.124756239,
12/31/2010,0.239549168,0.155563349,0.127111864,
3/31/2011,0.234769946,0.154219316,0.125877506,
6/30/2011,0.218314719,0.146314333,0.119141303,
9/30/2011,0.202728917,0.137422798,0.112112851,
12/31/2011,0.195463983,0.134329308,0.109234128,
3/31/2012,0.193004781,0.133351776,0.10857138,
6/30/2012,0.185505895,0.129276084,0.105144348,
9/30/2012,0.18190331,0.126935292,0.103398486,
12/31/2012,0.179117612,0.124039796,0.102075936,
3/31/2013,0.185228119,0.129009838,0.105660333,
6/30/2013,0.199449908,0.13952971,0.11404817,
9/30/2013,0.210729103,0.150545093,0.121211476,
12/31/2013,0.209944726,0.151362456,0.12105843,
3/31/2014,0.206140213,0.149880126,0.119648576,
6/30/2014,0.203001017,0.146978675,0.117362869,
9/30/2014,0.20480389,0.14721897,0.117905736,
12/31/2014,0.199047261,0.141959238,0.113859448,
3/31/2015,0.198005764,0.140808567,0.112647364,
6/30/2015,0.205807802,0.145111501,0.116109795,
9/30/2015,0.205446333,0.144375389,0.116479261,
12/31/2015,0.210353008,0.146109557,0.11910926,
3/31/2016,0.206242726,0.142303185,0.116786506,
6/30/2016,0.207603011,0.141535578,0.116843961,
9/30/2016,0.209890181,0.141410392,0.11712945,
12/31/2016,0.235804804,0.156327153,0.130297706,
3/31/2017,0.24114582,0.157769485,0.132079145,
6/30/2017,0.238614377,0.153850275,0.129345562,
NAN,NAN,NAN,NAN,
NAN,NAN,NAN,NAN,
NAN,NAN,NAN,NAN,
NAN,NAN,NAN,NAN,
NAN,NAN,NAN,NAN,
NAN,NAN,NAN,NAN,
