RegionID,RegionName,SizeRank,CBSAName,CBSACode,Month,CBSATitle,Nielsen HH Rank,hrank,Hotness Rank M/M,Hotness Rank Y/Y,hscore,Supply Score,Demand Score,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,Median DOM (vs US),Views Per Property M/M,Views Per Property Y/Y,Views Per Property  (vs US),MedListPrice,Median Listing Price M/M,Median Listing Price Y/Y,Median Listing Price  (vs US),Quality Flag
394475,"Cleveland, OH",29,"Cleveland-Elyria, OH",17460.0,201812.0,"Cleveland-Elyria, OH",26.0,45.0,-3.0,50.0,77.759197,62.87625418,92.64214047,73.0,8.5,0.1318,-6.0,-0.0759,-7.0,-0.0291,0.3514,1.6393,170000.0,-0.0286,0.0658,0.5882,0.0
394982,"Pittsburgh, PA",22,"Pittsburgh, PA",38300.0,201812.0,"Pittsburgh, PA",22.0,147.0,-8.0,29.0,51.839465000000004,36.4548495,67.22408027,88.0,12.5,0.1656,-4.0,-0.0435,8.0,-0.0385,0.2931,1.2295,172900.0,-0.012,0.0177,0.5983,0.0
394425,"Buffalo, NY",47,"Buffalo-Cheektowaga-Niagara Falls, NY",15380.0,201812.0,"Buffalo-Cheektowaga-Niagara Falls, NY",47.0,31.0,1.0,1.0,82.107023,76.92307692,87.29096990000001,67.0,8.0,0.1356,-1.0,-0.0147,-13.0,-0.0355,0.1585,1.5574,174900.0,-0.0278,0.06,0.6052,0.0
395121,"St. Louis, MO",18,"St. Louis, MO-IL",41180.0,201812.0,"St. Louis, MO-IL",19.0,135.0,-21.0,-30.0,56.688963,50.8361204,62.54180602,78.0,12.5,0.1908,4.0,0.0541,-2.0,0.006999999999999999,0.1803,1.1803,199900.0,-0.0244,0.0805,0.6917,0.0
394849,"Memphis, TN",41,"Memphis, TN-MS-AR",32820.0,201812.0,"Memphis, TN-MS-AR",43.0,38.0,26.0,40.0,79.431438,68.22742475,90.63545151,71.0,5.5,0.084,-4.0,-0.0533,-9.0,0.0316,0.3067,1.6066,205000.0,-0.0284,0.0864,0.7093,0.0
394388,"Birmingham, AL",49,"Birmingham-Hoover, AL",13820.0,201812.0,"Birmingham-Hoover, AL",49.0,168.0,-8.0,57.0,46.488294,39.799331099999996,53.17725753,86.0,8.5,0.1097,-12.0,-0.1224,6.0,-0.0496,0.5581,1.0984,219900.0,0.0,0.1078,0.7609,0.0
394532,"Detroit, MI",12,"Detroit-Warren-Dearborn, MI",19820.0,201812.0,"Detroit-Warren-Dearborn, MI",12.0,13.0,-4.0,4.0,88.12709,91.63879599,84.61538462,59.0,11.5,0.2421,-2.0,-0.0328,-21.0,-0.0265,-0.0213,1.5082,220000.0,-0.0276,0.0633,0.7612,0.0
394492,"Columbus, OH",32,"Columbus, OH",18140.0,201812.0,"Columbus, OH",31.0,4.0,-1.0,5.0,94.481605,91.63879599,97.32441472,59.0,8.75,0.1741,-1.0,-0.0167,-21.0,0.0,-0.0569,1.9016,229900.0,-0.0402,0.0455,0.7955,0.0
394466,"Cincinnati, OH",28,"Cincinnati, OH-KY-IN",17140.0,201812.0,"Cincinnati, OH-KY-IN",28.0,40.0,6.0,35.0,79.264214,85.6187291,72.909699,63.0,9.5,0.1776,-6.0,-0.087,-17.0,-0.0061,0.2857,1.3279,233500.0,-0.0253,0.086,0.8079999999999999,0.0
394935,"Oklahoma City, OK",42,"Oklahoma City, OK",36420.0,201812.0,"Oklahoma City, OK",41.0,128.0,3.0,24.0,57.692308,70.90301003,44.48160535,70.0,7.0,0.1111,-5.0,-0.0667,-10.0,-0.024,0.2449,1.0,234000.0,-0.0158,0.04,0.8097,0.0
394705,"Indianapolis, IN",33,"Indianapolis-Carmel-Anderson, IN",26900.0,201812.0,"Indianapolis-Carmel-Anderson, IN",32.0,81.0,-28.0,-4.0,68.729097,64.88294314,72.57525084,72.0,13.5,0.2308,1.0,0.0141,-8.0,-0.0241,0.2273,1.3279,235000.0,-0.0124,0.1196,0.8131,0.0
394807,"Louisville-Jefferson County, KY",43,"Louisville/Jefferson County, KY-IN",31140.0,201812.0,"Louisville/Jefferson County, KY-IN",42.0,18.0,-1.0,25.0,87.123746,86.62207358,87.62541806,62.5,9.5,0.1792,-5.5,-0.0809,-17.5,-0.0052,0.3194,1.5574,240000.0,-0.0301,0.0946,0.8304,0.0
394862,"Milwaukee, WI",39,"Milwaukee-Waukesha-West Allis, WI",33340.0,201812.0,"Milwaukee-Waukesha-West Allis, WI",38.0,22.0,4.0,32.0,86.454849,88.9632107,83.94648829,61.0,9.5,0.1845,-11.0,-0.1528,-19.0,0.0395,0.2267,1.5082,244900.0,-0.0165,0.1396,0.8474,0.0
394974,"Philadelphia, PA",5,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980.0,201812.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6.0,62.0,-11.0,32.0,73.57859499999999,53.17725753,93.97993311,76.0,10.0,0.1515,-5.0,-0.0617,-4.0,-0.019,0.3377,1.6885,250000.0,-0.0529,0.0504,0.8651,0.0
395148,"Tampa, FL",19,"Tampa-St. Petersburg-Clearwater, FL",45300.0,201812.0,"Tampa-St. Petersburg-Clearwater, FL",17.0,28.0,10.0,-2.0,83.277592,86.95652174,79.59866221,62.0,4.0,0.069,-1.0,-0.0159,-18.0,-0.0492,0.1013,1.4262,259900.0,-0.0054,-0.0004,0.8993,0.0
394669,"Hartford, CT",44,"Hartford-West Hartford-East Hartford, CT",25540.0,201812.0,"Hartford-West Hartford-East Hartford, CT",48.0,115.0,-3.0,-7.0,60.702341000000004,39.799331099999996,81.60535117,86.0,10.5,0.1391,4.0,0.0488,6.0,0.0056,0.2192,1.459,259900.0,-0.0266,0.0,0.8993,0.0
394910,"New Orleans, LA",46,"New Orleans-Metairie, LA",35380.0,201812.0,"New Orleans-Metairie, LA",44.0,94.0,16.0,-14.0,64.54849499999999,44.81605351,84.28093645,82.0,6.0,0.0789,4.0,0.0513,2.0,0.0055,0.1795,1.5082,275000.0,-0.0143,0.0204,0.9516,0.0
395194,"Virginia Beach, VA",36,"Virginia Beach-Norfolk-Newport News, VA-NC",47260.0,201812.0,"Virginia Beach-Norfolk-Newport News, VA-NC",37.0,219.0,-4.0,2.0,30.100334000000004,57.19063545,3.010033445,75.0,9.0,0.1364,-4.0,-0.0506,-5.0,0.0,0.2917,0.5082,279000.0,0.0,0.0372,0.9654,0.0
394735,"Kansas City, MO",30,"Kansas City, MO-KS",28140.0,201812.0,"Kansas City, MO-KS",30.0,91.0,-36.0,-56.0,66.220736,53.17725753,79.26421405,76.0,15.0,0.2459,5.0,0.0704,-4.0,-0.0169,0.0235,1.4262,279000.0,0.0148,0.1162,0.9654,0.0
394463,"Chicago, IL",3,"Chicago-Naperville-Elgin, IL-IN-WI",16980.0,201812.0,"Chicago-Naperville-Elgin, IL-IN-WI",3.0,139.0,-10.0,-13.0,54.180602,72.57525084,35.78595318,69.0,11.0,0.1897,-3.0,-0.0417,-11.0,-0.0179,0.0784,0.9016,279000.0,-0.0209,0.0337,0.9654,0.0
395055,"San Antonio, TX",26,"San Antonio-New Braunfels, TX",41700.0,201812.0,"San Antonio-New Braunfels, TX",27.0,57.0,23.0,-12.0,75.083612,68.22742475,81.93979933,71.0,5.0,0.0758,0.0,0.0,-9.0,0.0169,0.1688,1.4754,284990.0,0.0008,0.0178,0.9861,0.0
394358,"Baltimore, MD",20,"Baltimore-Columbia-Towson, MD",12580.0,201812.0,"Baltimore-Columbia-Towson, MD",21.0,161.0,-10.0,-15.0,48.160534999999996,64.88294314,31.43812709,72.0,11.0,0.1803,0.0,0.0,-8.0,-0.0275,0.1277,0.8689,298000.0,-0.023,0.0456,1.0311,0.0
394714,"Jacksonville, FL",40,"Jacksonville, FL",27260.0,201812.0,"Jacksonville, FL",40.0,167.0,1.0,-24.0,47.324415,52.17391304,42.47491639,77.0,6.5,0.0922,0.0,0.0,-3.0,0.0084,0.1111,0.9836,299000.0,0.0136,-0.0033,1.0346,0.0
394943,"Orlando, FL",27,"Orlando-Kissimmee-Sanford, FL",36740.0,201812.0,"Orlando-Kissimmee-Sanford, FL",25.0,43.0,4.0,12.0,78.42809399999999,70.90301003,85.95317726,70.0,7.5,0.12,-4.0,-0.0541,-10.0,-0.0157,0.175,1.541,299900.0,0.0,0.0135,1.0377,0.0
395022,"Richmond, VA",45,"Richmond, VA",40060.0,201812.0,"Richmond, VA",45.0,73.0,-5.0,41.0,71.404682,85.6187291,57.19063545,63.0,7.5,0.1351,-10.0,-0.13699999999999998,-17.0,-0.0548,0.1897,1.1311,299950.0,-0.0001,0.0379,1.0379,0.0
