RegionID,RegionName,SizeRank,CBSAName,CBSACode,Month,CBSATitle,Nielsen HH Rank,hrank,Hotness Rank M/M,Hotness Rank Y/Y,hscore,Supply Score,Demand Score,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,Median DOM (vs US),Views Per Property M/M,Views Per Property Y/Y,Views Per Property  (vs US),MedListPrice,Median Listing Price M/M,Median Listing Price Y/Y,Median Listing Price  (vs US),Quality Flag,Index,2018-09
394705,"Indianapolis, IN",33,"Indianapolis-Carmel-Anderson, IN",26900.0,201812.0,"Indianapolis-Carmel-Anderson, IN",32.0,81.0,-28.0,-4.0,68.729097,64.88294314,72.57525084,72.0,13.5,0.2308,1.0,0.0141,-8.0,-0.0241,0.2273,1.3279,235000.0,-0.0124,0.1196,0.8131,0.0,Mortgage Affordability,0.12682294489124302
394466,"Cincinnati, OH",28,"Cincinnati, OH-KY-IN",17140.0,201812.0,"Cincinnati, OH-KY-IN",28.0,40.0,6.0,35.0,79.264214,85.6187291,72.909699,63.0,9.5,0.1776,-6.0,-0.087,-17.0,-0.0061,0.2857,1.3279,233500.0,-0.0253,0.086,0.8079999999999999,0.0,Mortgage Affordability,0.12683445196162402
394532,"Detroit, MI",12,"Detroit-Warren-Dearborn, MI",19820.0,201812.0,"Detroit-Warren-Dearborn, MI",12.0,13.0,-4.0,4.0,88.12709,91.63879599,84.61538462,59.0,11.5,0.2421,-2.0,-0.0328,-21.0,-0.0265,-0.0213,1.5082,220000.0,-0.0276,0.0633,0.7612,0.0,Mortgage Affordability,0.128182798839066
394849,"Memphis, TN",41,"Memphis, TN-MS-AR",32820.0,201812.0,"Memphis, TN-MS-AR",43.0,38.0,26.0,40.0,79.431438,68.22742475,90.63545151,71.0,5.5,0.084,-4.0,-0.0533,-9.0,0.0316,0.3067,1.6066,205000.0,-0.0284,0.0864,0.7093,0.0,Mortgage Affordability,0.128277983611021
394475,"Cleveland, OH",29,"Cleveland-Elyria, OH",17460.0,201812.0,"Cleveland-Elyria, OH",26.0,45.0,-3.0,50.0,77.759197,62.87625418,92.64214047,73.0,8.5,0.1318,-6.0,-0.0759,-7.0,-0.0291,0.3514,1.6393,170000.0,-0.0286,0.0658,0.5882,0.0,Mortgage Affordability,0.131049725169692
394807,"Louisville-Jefferson County, KY",43,"Louisville/Jefferson County, KY-IN",31140.0,201812.0,"Louisville/Jefferson County, KY-IN",42.0,18.0,-1.0,25.0,87.123746,86.62207358,87.62541806,62.5,9.5,0.1792,-5.5,-0.0809,-17.5,-0.0052,0.3194,1.5574,240000.0,-0.0301,0.0946,0.8304,0.0,Mortgage Affordability,0.131793342412783
394425,"Buffalo, NY",47,"Buffalo-Cheektowaga-Niagara Falls, NY",15380.0,201812.0,"Buffalo-Cheektowaga-Niagara Falls, NY",47.0,31.0,1.0,1.0,82.107023,76.92307692,87.29096990000001,67.0,8.0,0.1356,-1.0,-0.0147,-13.0,-0.0355,0.1585,1.5574,174900.0,-0.0278,0.06,0.6052,0.0,Mortgage Affordability,0.133747387632256
394492,"Columbus, OH",32,"Columbus, OH",18140.0,201812.0,"Columbus, OH",31.0,4.0,-1.0,5.0,94.481605,91.63879599,97.32441472,59.0,8.75,0.1741,-1.0,-0.0167,-21.0,0.0,-0.0569,1.9016,229900.0,-0.0402,0.0455,0.7955,0.0,Mortgage Affordability,0.137462506917791
394735,"Kansas City, MO",30,"Kansas City, MO-KS",28140.0,201812.0,"Kansas City, MO-KS",30.0,91.0,-36.0,-56.0,66.220736,53.17725753,79.26421405,76.0,15.0,0.2459,5.0,0.0704,-4.0,-0.0169,0.0235,1.4262,279000.0,0.0148,0.1162,0.9654,0.0,Mortgage Affordability,0.140570982069198
394347,"Atlanta, GA",9,"Atlanta-Sandy Springs-Roswell, GA",12060.0,201812.0,"Atlanta-Sandy Springs-Roswell, GA",9.0,92.0,29.0,-3.0,65.88628800000001,88.9632107,42.80936455,61.0,6.0,0.1091,-4.0,-0.0615,-19.0,0.0714,0.1111,0.9836,311427.0,-0.0113,0.0384,1.0776,0.0,Mortgage Affordability,0.153326871133603
394458,"Charlotte, NC",24,"Charlotte-Concord-Gastonia, NC-SC",16740.0,201812.0,"Charlotte-Concord-Gastonia, NC-SC",24.0,32.0,13.0,29.0,81.43812700000001,72.57525084,90.30100334,69.0,7.0,0.1129,-6.0,-0.08,-11.0,0.0104,0.2125,1.5902,323268.0,-0.0068,-0.0053,1.1186,0.0,Mortgage Affordability,0.155672142500487
395022,"Richmond, VA",45,"Richmond, VA",40060.0,201812.0,"Richmond, VA",45.0,73.0,-5.0,41.0,71.404682,85.6187291,57.19063545,63.0,7.5,0.1351,-10.0,-0.13699999999999998,-17.0,-0.0548,0.1897,1.1311,299950.0,-0.0001,0.0379,1.0379,0.0,Mortgage Affordability,0.15773501608607998
395055,"San Antonio, TX",26,"San Antonio-New Braunfels, TX",41700.0,201812.0,"San Antonio-New Braunfels, TX",27.0,57.0,23.0,-12.0,75.083612,68.22742475,81.93979933,71.0,5.0,0.0758,0.0,0.0,-9.0,0.0169,0.1688,1.4754,284990.0,0.0008,0.0178,0.9861,0.0,Mortgage Affordability,0.15964474695509198
394974,"Philadelphia, PA",5,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980.0,201812.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6.0,62.0,-11.0,32.0,73.57859499999999,53.17725753,93.97993311,76.0,10.0,0.1515,-5.0,-0.0617,-4.0,-0.019,0.3377,1.6885,250000.0,-0.0529,0.0504,0.8651,0.0,Mortgage Affordability,0.15995886412895802
394865,"Minneapolis-St Paul, MN",16,"Minneapolis-St. Paul-Bloomington, MN-WI",33460.0,201812.0,"Minneapolis-St. Paul-Bloomington, MN-WI",15.0,69.0,2.0,-23.0,72.408027,82.60869565,62.20735786,65.0,13.5,0.2621,-2.0,-0.0299,-15.0,0.0511,0.0435,1.1803,339900.0,0.018000000000000002,0.0303,1.1761,0.0,Mortgage Affordability,0.163702920225716
394514,"Dallas-Fort Worth, TX",4,"Dallas-Fort Worth-Arlington, TX",19100.0,201812.0,"Dallas-Fort Worth-Arlington, TX",4.0,15.0,14.0,-4.0,87.792642,82.60869565,92.97658863,65.0,7.0,0.1207,6.0,0.1017,-15.0,0.0256,-0.0196,1.6393,332590.0,-0.006999999999999999,-0.0215,1.1508,0.0,Mortgage Affordability,0.165129914460675
394910,"New Orleans, LA",46,"New Orleans-Metairie, LA",35380.0,201812.0,"New Orleans-Metairie, LA",44.0,94.0,16.0,-14.0,64.54849499999999,44.81605351,84.28093645,82.0,6.0,0.0789,4.0,0.0513,2.0,0.0055,0.1795,1.5082,275000.0,-0.0143,0.0204,0.9516,0.0,Mortgage Affordability,0.16586560288075
395012,"Raleigh, NC",48,"Raleigh, NC",39580.0,201812.0,"Raleigh, NC",46.0,97.0,0.0,-27.0,63.377926,50.8361204,75.91973244,78.0,10.5,0.1556,5.0,0.0685,-2.0,-0.0119,0.13699999999999998,1.3607,339900.0,0.0,0.013999999999999999,1.1761,0.0,Mortgage Affordability,0.170506228153025
394862,"Milwaukee, WI",39,"Milwaukee-Waukesha-West Allis, WI",33340.0,201812.0,"Milwaukee-Waukesha-West Allis, WI",38.0,22.0,4.0,32.0,86.454849,88.9632107,83.94648829,61.0,9.5,0.1845,-11.0,-0.1528,-19.0,0.0395,0.2267,1.5082,244900.0,-0.0165,0.1396,0.8474,0.0,Mortgage Affordability,0.181212632277487
394902,"Nashville, TN",37,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980.0,201812.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",35.0,16.0,8.0,9.0,87.45819399999999,97.65886288,77.25752508,52.0,6.5,0.1429,6.0,0.1304,-28.0,0.0241,0.1972,1.3934,349900.0,0.0,-0.0213,1.2107,0.0,Mortgage Affordability,0.185081374771434
395148,"Tampa, FL",19,"Tampa-St. Petersburg-Clearwater, FL",45300.0,201812.0,"Tampa-St. Petersburg-Clearwater, FL",17.0,28.0,10.0,-2.0,83.277592,86.95652174,79.59866221,62.0,4.0,0.069,-1.0,-0.0159,-18.0,-0.0492,0.1013,1.4262,259900.0,-0.0054,-0.0004,0.8993,0.0,Mortgage Affordability,0.19179258915082897
395209,"Washington, DC",7,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900.0,201812.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",7.0,86.0,-4.0,-5.0,67.892977,84.61538462,51.17056856,64.0,12.0,0.2308,-1.0,-0.0154,-16.0,0.0076,0.1786,1.082,419976.5,-0.0233,0.012,1.4532,0.0,Mortgage Affordability,0.192359468768285
394976,"Phoenix, AZ",14,"Phoenix-Mesa-Scottsdale, AZ",38060.0,201812.0,"Phoenix-Mesa-Scottsdale, AZ",13.0,42.0,10.0,-2.0,78.595318,97.32441472,59.86622074,53.0,8.5,0.191,-4.0,-0.0702,-27.0,0.0145,0.129,1.1475,329900.0,-0.0001,0.0309,1.1415,0.0,Mortgage Affordability,0.19908115232249698
394943,"Orlando, FL",27,"Orlando-Kissimmee-Sanford, FL",36740.0,201812.0,"Orlando-Kissimmee-Sanford, FL",25.0,43.0,4.0,12.0,78.42809399999999,70.90301003,85.95317726,70.0,7.5,0.12,-4.0,-0.0541,-10.0,-0.0157,0.175,1.541,299900.0,0.0,0.0135,1.0377,0.0,Mortgage Affordability,0.20085903159576896
395005,"Providence, RI",38,"Providence-Warwick, RI-MA",39300.0,201812.0,"Providence-Warwick, RI-MA",39.0,50.0,-2.0,42.0,76.254181,76.92307692,75.58528428,67.0,10.5,0.1858,-7.0,-0.0946,-13.0,0.0061,0.2388,1.3607,339000.0,-0.0101,0.0431,1.173,0.0,Mortgage Affordability,0.208692769146365
394775,"Las Vegas, NV",31,"Las Vegas-Henderson-Paradise, NV",29820.0,201812.0,"Las Vegas-Henderson-Paradise, NV",33.0,46.0,-3.0,-15.0,77.424749,95.31772575,59.53177258,55.0,10.75,0.2429,-3.0,-0.0517,-25.0,-0.021,-0.0278,1.1475,319900.0,-0.0003,0.1069,1.1069,0.0,Mortgage Affordability,0.22566597298601798
394530,"Denver, CO",21,"Denver-Aurora-Lakewood, CO",19740.0,201812.0,"Denver-Aurora-Lakewood, CO",20.0,85.0,2.0,-72.0,68.394649,91.63879599,45.15050167,59.0,12.0,0.2553,-3.0,-0.0484,-21.0,0.0248,-0.4414,1.0164,449950.0,-0.0001,-0.1584,1.5569,0.0,Mortgage Affordability,0.246700220249599
394404,"Boston, MA",10,"Boston-Cambridge-Newton, MA-NH",14460.0,201812.0,"Boston-Cambridge-Newton, MA-NH",10.0,9.0,-4.0,7.0,90.635452,82.60869565,98.66220736,65.0,13.0,0.25,1.0,0.0156,-15.0,0.0268,0.2523,2.1967,499900.0,-0.0014,0.0204,1.7298,0.0,Mortgage Affordability,0.253796071740211
395045,"Sacramento, CA",25,"Sacramento--Roseville--Arden-Arcade, CA",40900.0,201812.0,"Sacramento--Roseville--Arden-Arcade, CA",29.0,7.0,0.0,0.0,93.478261,91.63879599,95.31772575,59.0,8.0,0.1569,1.0,0.0172,-21.0,0.0863,0.0094,1.7541,449000.0,0.009000000000000001,0.0228,1.5536,0.0,Mortgage Affordability,0.28130532351288
395056,"San Diego, CA",17,"San Diego-Carlsbad, CA",41740.0,201812.0,"San Diego-Carlsbad, CA",18.0,37.0,7.0,-31.0,79.598662,97.65886288,61.53846154,52.0,10.0,0.2381,3.0,0.0612,-28.0,0.0143,-0.2198,1.1639,649900.0,-0.0107,-0.0002,2.2488,0.0,Mortgage Affordability,0.36433617255758005
753899,"Los Angeles-Long Beach-Anaheim, CA",2,"Los Angeles-Long Beach-Anaheim, CA",31080.0,201812.0,"Los Angeles-Long Beach-Anaheim, CA",2.0,64.0,2.0,-49.0,73.076923,94.64882943,51.50501672,56.0,10.0,0.2174,5.0,0.098,-24.0,-0.0075,-0.175,1.082,710000.0,-0.0207,0.0144,2.4567,0.0,Mortgage Affordability,0.438055756540981
395057,"San Francisco, CA",11,"San Francisco-Oakland-Hayward, CA",41860.0,201812.0,"San Francisco-Oakland-Hayward, CA",11.0,6.0,2.0,-4.0,94.14715699999999,99.33110368,88.9632107,51.0,13.0,0.3421,6.0,0.1333,-29.0,0.1034,-0.2381,1.5738,855000.0,-0.0431,-0.0372,2.9585,0.0,Mortgage Affordability,0.4432301287531
395059,"San Jose, CA",34,"San Jose-Sunnyvale-Santa Clara, CA",41940.0,201812.0,"San Jose-Sunnyvale-Santa Clara, CA",36.0,52.0,18.0,-51.0,75.919732,99.33110368,52.50836120000001,51.0,12.5,0.3247,14.0,0.3784,-29.0,0.0806,-0.4683,1.0984,999999.0,-0.0766,-0.115,3.4602,0.0,Mortgage Affordability,0.507115356752769
